Continent,Country,Province-eng,Province-chi,Town-eng,Town-chi,Source
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Arrowhead,亞利血埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Ashcroft,鴉市給笠埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Barkerville,百架委利埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Cache Creek,坎舒架利埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Chemainus,始緬尼市埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Chilliwack,車釐役埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Clayoquat,企李島括埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Clinton,企冷頓埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Coal Creek,柯格利埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Columbia,加罧鼻埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Cranbrook,很卜碌埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Cumberland,冚把倫埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Dog Creek,作古力埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Duncan Station,黨近市姊臣埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Enderby,典打備埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Extension,的市賛臣埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Fernie,寬尼埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Fort Steele,闊市姊路埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Golden,俄而剪埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Grand Forks,加蘭福埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Greenwood,企連鬱埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,High River,體利罷埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Kaslo,卡市碌埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Kamloops,錦碌埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Kelowna,企老那埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Keremeos,卡罅猫市埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Ladner,列伍尼埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Ladysmith,李地市覓埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Lillooet,廬路的埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Lulu Island,魯地底崙埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Merritt,尾列埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Mission City,尾臣埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Mt. Sicker,網地昔呀埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Nelson,汝利慎埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,New Westminster,紐委市棉地市,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Nicola Lake,匿哥罅力埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Penticton,片地頓埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Port Hammond,砵添問埠,"Wong, 1913"
